10.10.0.0/24	Infrastruktura
10.10.22.14	1Cb Komp14	d8:9e:f3:24:95:e6
10.10.22.15	1Cb Komp15	00:00:00:00:00:00

10.10.201.2	Komp 2A	6c:4b:90:5d:b2:62
10.10.201.3	Komp 3A	6c:4b:90:82:86:c0
10.10.201.11	Komp 11A	6c:4b:90:82:86:41
10.10.201.12	Komp 12A	6c:4b:90:5d:a3:89
10.10.201.13	Komp 13A	6c:4b:90:86:0f:c4
10.10.201.14	Komp 14A	6c:4b:90:82:86:31

10.10.202.1	Komp 1B	6c:4b:90:82:86:5f
10.10.202.2	Komp 2B	6c:4b:90:5d:b1:cb
10.10.202.3	Komp 3B	6c:4b:90:5d:b1:ba
10.10.202.11	Komp 11B	6c:4b:90:5d:b1:7a
10.10.202.12	Komp 12B	6c:4b:90:86:0b:63
10.10.202.14	Komp 14B	6c:4b:90:5d:b1:80

10.10.203.2	Komp 2C	6c:4b:90:5d:b1:13
10.10.203.3	Komp 3C	6c:4b:90:82:88:ae
10.10.203.6	Komp 6C	6c:4b:90:5d:b1:b0
10.10.203.14	Komp 14C	6c:4b:90:5d:b1:27
10.10.203.22	Komp 22C	6c:4b:90:82:86:63
10.10.203.23	Komp 23C	6c:4b:90:5d:b2:4e
